"No.","Time","Source","Destination","Protocol","Length","Info"
"1222","1.080022","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans: 13512; Unit: 255, Func:   3: Read Holding Registers"
"1223","0.010040","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans: 13512; Unit: 255, Func:   3: Read Holding Registers"
"1226","0.287891","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans: 13513; Unit: 255, Func:   3: Read Holding Registers"
"1227","0.010125","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans: 13513; Unit: 255, Func:   3: Read Holding Registers"
"1230","0.289718","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans: 13514; Unit: 255, Func:   3: Read Holding Registers"
"1231","0.028625","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans: 13514; Unit: 255, Func:   3: Read Holding Registers"
"1233","0.271821","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans: 13515; Unit: 255, Func:   3: Read Holding Registers"
"1234","0.023904","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans: 13515; Unit: 255, Func:   3: Read Holding Registers"
"1249","1.076475","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans: 13516; Unit: 255, Func:   3: Read Holding Registers"
"1250","0.020292","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans: 13516; Unit: 255, Func:   3: Read Holding Registers"
"1253","0.279495","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans: 13517; Unit: 255, Func:   3: Read Holding Registers"
"1254","0.027542","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans: 13517; Unit: 255, Func:   3: Read Holding Registers"
