"No.","Time","Source","Destination","Protocol","Length","Info"
"3191","0.014476","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans:   863; Unit: 255, Func:   3: Read Holding Registers"
"3251","0.285323","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans:   864; Unit: 255, Func:   3: Read Holding Registers"
"3257","0.041666","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans:   864; Unit: 255, Func:   3: Read Holding Registers"
"3497","1.058846","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans:   865; Unit: 255, Func:   3: Read Holding Registers"
"3500","0.012786","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans:   865; Unit: 255, Func:   3: Read Holding Registers"
"3563","0.294754","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans:   866; Unit: 255, Func:   3: Read Holding Registers"
"3565","0.004351","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans:   866; Unit: 255, Func:   3: Read Holding Registers"
"3628","0.288342","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans:   867; Unit: 255, Func:   3: Read Holding Registers"
"3633","0.034186","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans:   867; Unit: 255, Func:   3: Read Holding Registers"
"3693","0.266148","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans:   868; Unit: 255, Func:   3: Read Holding Registers"
"3696","0.021756","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans:   868; Unit: 255, Func:   3: Read Holding Registers"
"3936","1.079271","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans:   869; Unit: 255, Func:   3: Read Holding Registers"
"3940","0.015510","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans:   869; Unit: 255, Func:   3: Read Holding Registers"
"3999","0.284040","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans:   870; Unit: 255, Func:   3: Read Holding Registers"
"4004","0.013893","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans:   870; Unit: 255, Func:   3: Read Holding Registers"
"4066","0.286149","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans:   871; Unit: 255, Func:   3: Read Holding Registers"
"4075","0.038857","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans:   871; Unit: 255, Func:   3: Read Holding Registers"
"4140","0.261333","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans:   872; Unit: 255, Func:   3: Read Holding Registers"
"4144","0.030073","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans:   872; Unit: 255, Func:   3: Read Holding Registers"
"4385","1.070831","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans:   873; Unit: 255, Func:   3: Read Holding Registers"
"4386","0.011224","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans:   873; Unit: 255, Func:   3: Read Holding Registers"
"4454","0.288568","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans:   874; Unit: 255, Func:   3: Read Holding Registers"
"4465","0.050600","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans:   874; Unit: 255, Func:   3: Read Holding Registers"
"4525","0.253418","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans:   875; Unit: 255, Func:   3: Read Holding Registers"
"4528","0.012078","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans:   875; Unit: 255, Func:   3: Read Holding Registers"
"4606","0.284466","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans:   876; Unit: 255, Func:   3: Read Holding Registers"
"4613","0.027941","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans:   876; Unit: 255, Func:   3: Read Holding Registers"
"4895","1.072938","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans:   877; Unit: 255, Func:   3: Read Holding Registers"
"4900","0.030103","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans:   877; Unit: 255, Func:   3: Read Holding Registers"
"4958","0.269800","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans:   878; Unit: 255, Func:   3: Read Holding Registers"
"4965","0.025316","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans:   878; Unit: 255, Func:   3: Read Holding Registers"
"5025","0.274471","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans:   879; Unit: 255, Func:   3: Read Holding Registers"
"5028","0.012100","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans:   879; Unit: 255, Func:   3: Read Holding Registers"
"5089","0.288272","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans:   880; Unit: 255, Func:   3: Read Holding Registers"
"5095","0.023132","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans:   880; Unit: 255, Func:   3: Read Holding Registers"
"5327","1.077617","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans:   881; Unit: 255, Func:   3: Read Holding Registers"
"5336","0.033517","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans:   881; Unit: 255, Func:   3: Read Holding Registers"
"5398","0.266486","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans:   882; Unit: 255, Func:   3: Read Holding Registers"
"5404","0.016351","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans:   882; Unit: 255, Func:   3: Read Holding Registers"
"5467","0.283435","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans:   883; Unit: 255, Func:   3: Read Holding Registers"
"5471","0.015545","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans:   883; Unit: 255, Func:   3: Read Holding Registers"
"5526","0.284498","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans:   884; Unit: 255, Func:   3: Read Holding Registers"
"5527","0.010296","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans:   884; Unit: 255, Func:   3: Read Holding Registers"
"5777","1.090781","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans:   885; Unit: 255, Func:   3: Read Holding Registers"
"5784","0.023655","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans:   885; Unit: 255, Func:   3: Read Holding Registers"
"5844","0.276234","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans:   886; Unit: 255, Func:   3: Read Holding Registers"
"5847","0.017592","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans:   886; Unit: 255, Func:   3: Read Holding Registers"
"5917","0.282685","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans:   887; Unit: 255, Func:   3: Read Holding Registers"
"5921","0.032289","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans:   887; Unit: 255, Func:   3: Read Holding Registers"
"5977","0.269278","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans:   888; Unit: 255, Func:   3: Read Holding Registers"
"5980","0.015459","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans:   888; Unit: 255, Func:   3: Read Holding Registers"
"6231","1.083427","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans:   889; Unit: 255, Func:   3: Read Holding Registers"
"6234","0.015159","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans:   889; Unit: 255, Func:   3: Read Holding Registers"
"6300","0.285111","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans:   890; Unit: 255, Func:   3: Read Holding Registers"
"6305","0.018905","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans:   890; Unit: 255, Func:   3: Read Holding Registers"
"6364","0.281147","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans:   891; Unit: 255, Func:   3: Read Holding Registers"
"6367","0.011872","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans:   891; Unit: 255, Func:   3: Read Holding Registers"
"6429","0.295858","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans:   892; Unit: 255, Func:   3: Read Holding Registers"
"6430","0.012912","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans:   892; Unit: 255, Func:   3: Read Holding Registers"
"6714","1.079870","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans:   893; Unit: 255, Func:   3: Read Holding Registers"
"6718","0.012208","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans:   893; Unit: 255, Func:   3: Read Holding Registers"
"6792","0.287947","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans:   894; Unit: 255, Func:   3: Read Holding Registers"
"6793","0.006327","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans:   894; Unit: 255, Func:   3: Read Holding Registers"
"6853","0.294048","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans:   895; Unit: 255, Func:   3: Read Holding Registers"
"6856","0.016943","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans:   895; Unit: 255, Func:   3: Read Holding Registers"
"6924","0.283098","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans:   896; Unit: 255, Func:   3: Read Holding Registers"
"6929","0.030277","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans:   896; Unit: 255, Func:   3: Read Holding Registers"
"7190","1.070233","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans:   897; Unit: 255, Func:   3: Read Holding Registers"
"7198","0.052503","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans:   897; Unit: 255, Func:   3: Read Holding Registers"
"7250","0.247657","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans:   898; Unit: 255, Func:   3: Read Holding Registers"
"7253","0.011362","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans:   898; Unit: 255, Func:   3: Read Holding Registers"
"7314","0.288693","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans:   899; Unit: 255, Func:   3: Read Holding Registers"
"7319","0.015318","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans:   899; Unit: 255, Func:   3: Read Holding Registers"
"7379","0.284908","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans:   900; Unit: 255, Func:   3: Read Holding Registers"
"7386","0.032048","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans:   900; Unit: 255, Func:   3: Read Holding Registers"
"7637","1.068488","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans:   901; Unit: 255, Func:   3: Read Holding Registers"
"7640","0.014626","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans:   901; Unit: 255, Func:   3: Read Holding Registers"
"7705","0.294190","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans:   902; Unit: 255, Func:   3: Read Holding Registers"
"7712","0.025667","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans:   902; Unit: 255, Func:   3: Read Holding Registers"
"7759","0.265396","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans:   903; Unit: 255, Func:   3: Read Holding Registers"
