"No.","Time","Source","Destination","Protocol","Length","Info"
"4207","1.088101","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans:  9327; Unit: 255, Func:   3: Read Holding Registers"
"4208","0.009974","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans:  9327; Unit: 255, Func:   3: Read Holding Registers"
"4274","0.290233","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans:  9328; Unit: 255, Func:   3: Read Holding Registers"
"4277","0.021870","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans:  9328; Unit: 255, Func:   3: Read Holding Registers"
"4336","0.278477","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans:  9329; Unit: 255, Func:   3: Read Holding Registers"
"4341","0.030510","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans:  9329; Unit: 255, Func:   3: Read Holding Registers"
"4399","0.277632","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans:  9330; Unit: 255, Func:   3: Read Holding Registers"
"4403","0.015792","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans:  9330; Unit: 255, Func:   3: Read Holding Registers"
"4653","1.076626","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans:  9331; Unit: 255, Func:   3: Read Holding Registers"
"4663","0.022291","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans:  9331; Unit: 255, Func:   3: Read Holding Registers"
"4725","0.277980","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans:  9332; Unit: 255, Func:   3: Read Holding Registers"
"4728","0.017030","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans:  9332; Unit: 255, Func:   3: Read Holding Registers"
"4782","0.283067","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans:  9333; Unit: 255, Func:   3: Read Holding Registers"
"4784","0.010698","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans:  9333; Unit: 255, Func:   3: Read Holding Registers"
"4843","0.289495","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans:  9334; Unit: 255, Func:   3: Read Holding Registers"
"4846","0.013825","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans:  9334; Unit: 255, Func:   3: Read Holding Registers"
"5082","1.086877","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans:  9335; Unit: 255, Func:   3: Read Holding Registers"
"5085","0.024626","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans:  9335; Unit: 255, Func:   3: Read Holding Registers"
"5135","0.274981","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans:  9336; Unit: 255, Func:   3: Read Holding Registers"
"5139","0.014939","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans:  9336; Unit: 255, Func:   3: Read Holding Registers"
"5198","0.285628","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans:  9337; Unit: 255, Func:   3: Read Holding Registers"
"5203","0.018073","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans:  9337; Unit: 255, Func:   3: Read Holding Registers"
"5267","0.281844","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans:  9338; Unit: 255, Func:   3: Read Holding Registers"
"5270","0.019120","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans:  9338; Unit: 255, Func:   3: Read Holding Registers"
"5499","1.081269","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans:  9339; Unit: 255, Func:   3: Read Holding Registers"
"5501","0.024530","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans:  9339; Unit: 255, Func:   3: Read Holding Registers"
"5567","0.275453","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans:  9340; Unit: 255, Func:   3: Read Holding Registers"
"5569","0.020454","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans:  9340; Unit: 255, Func:   3: Read Holding Registers"
"5630","0.279658","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans:  9341; Unit: 255, Func:   3: Read Holding Registers"
"5637","0.021565","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans:  9341; Unit: 255, Func:   3: Read Holding Registers"
