"No.","Time","Source","Destination","Protocol","Length","Info"
"4062","0.004782","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans:   365; Unit: 255, Func:   3: Read Holding Registers"
"4122","0.295261","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans:   366; Unit: 255, Func:   3: Read Holding Registers"
"4126","0.017059","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans:   366; Unit: 255, Func:   3: Read Holding Registers"
"4188","0.283056","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans:   367; Unit: 255, Func:   3: Read Holding Registers"
"4193","0.020597","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans:   367; Unit: 255, Func:   3: Read Holding Registers"
"4259","0.280000","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans:   368; Unit: 255, Func:   3: Read Holding Registers"
"4262","0.016396","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans:   368; Unit: 255, Func:   3: Read Holding Registers"
"4511","1.083825","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans:   369; Unit: 255, Func:   3: Read Holding Registers"
"4518","0.037249","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans:   369; Unit: 255, Func:   3: Read Holding Registers"
"4581","0.262802","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans:   370; Unit: 255, Func:   3: Read Holding Registers"
"4587","0.033196","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans:   370; Unit: 255, Func:   3: Read Holding Registers"
"4655","0.266922","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans:   371; Unit: 255, Func:   3: Read Holding Registers"
"4658","0.011089","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans:   371; Unit: 255, Func:   3: Read Holding Registers"
"4737","0.288979","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans:   372; Unit: 255, Func:   3: Read Holding Registers"
"4740","0.014677","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans:   372; Unit: 255, Func:   3: Read Holding Registers"
"5023","1.085950","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans:   373; Unit: 255, Func:   3: Read Holding Registers"
"5025","0.007228","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans:   373; Unit: 255, Func:   3: Read Holding Registers"
"5080","0.293008","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans:   374; Unit: 255, Func:   3: Read Holding Registers"
"5086","0.023287","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans:   374; Unit: 255, Func:   3: Read Holding Registers"
"5153","0.276983","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans:   375; Unit: 255, Func:   3: Read Holding Registers"
"5159","0.033757","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans:   375; Unit: 255, Func:   3: Read Holding Registers"
"5220","0.266383","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans:   376; Unit: 255, Func:   3: Read Holding Registers"
"5223","0.020729","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans:   376; Unit: 255, Func:   3: Read Holding Registers"
"5466","1.098378","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans:   377; Unit: 255, Func:   3: Read Holding Registers"
"5468","0.005569","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans:   377; Unit: 255, Func:   3: Read Holding Registers"
"5529","0.275612","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans:   378; Unit: 255, Func:   3: Read Holding Registers"
"5534","0.015421","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans:   378; Unit: 255, Func:   3: Read Holding Registers"
"5599","0.284748","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans:   379; Unit: 255, Func:   3: Read Holding Registers"
"5603","0.024561","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans:   379; Unit: 255, Func:   3: Read Holding Registers"
"5666","0.275915","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans:   380; Unit: 255, Func:   3: Read Holding Registers"
"5669","0.014878","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans:   380; Unit: 255, Func:   3: Read Holding Registers"
"5915","1.085554","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans:   381; Unit: 255, Func:   3: Read Holding Registers"
"5919","0.017370","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans:   381; Unit: 255, Func:   3: Read Holding Registers"
"5982","0.287594","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans:   382; Unit: 255, Func:   3: Read Holding Registers"
"5985","0.013843","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans:   382; Unit: 255, Func:   3: Read Holding Registers"
"6045","0.281135","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans:   383; Unit: 255, Func:   3: Read Holding Registers"
"6048","0.027811","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans:   383; Unit: 255, Func:   3: Read Holding Registers"
"6110","0.272575","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans:   384; Unit: 255, Func:   3: Read Holding Registers"
"6121","0.046491","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans:   384; Unit: 255, Func:   3: Read Holding Registers"
"6360","1.054038","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans:   385; Unit: 255, Func:   3: Read Holding Registers"
"6366","0.027742","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans:   385; Unit: 255, Func:   3: Read Holding Registers"
"6428","0.272199","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans:   386; Unit: 255, Func:   3: Read Holding Registers"
"6435","0.020714","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans:   386; Unit: 255, Func:   3: Read Holding Registers"
"6494","0.279744","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans:   387; Unit: 255, Func:   3: Read Holding Registers"
"6501","0.022638","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans:   387; Unit: 255, Func:   3: Read Holding Registers"
"6563","0.277478","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans:   388; Unit: 255, Func:   3: Read Holding Registers"
"6566","0.012535","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans:   388; Unit: 255, Func:   3: Read Holding Registers"
"6839","1.088132","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans:   389; Unit: 255, Func:   3: Read Holding Registers"
"6846","0.029936","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans:   389; Unit: 255, Func:   3: Read Holding Registers"
"6923","0.269729","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans:   390; Unit: 255, Func:   3: Read Holding Registers"
"6931","0.018093","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans:   390; Unit: 255, Func:   3: Read Holding Registers"
"6992","0.282057","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans:   391; Unit: 255, Func:   3: Read Holding Registers"
"6994","0.010790","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans:   391; Unit: 255, Func:   3: Read Holding Registers"
"7058","0.289215","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans:   392; Unit: 255, Func:   3: Read Holding Registers"
"7064","0.022155","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans:   392; Unit: 255, Func:   3: Read Holding Registers"
"7305","1.078675","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans:   393; Unit: 255, Func:   3: Read Holding Registers"
"7313","0.030417","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans:   393; Unit: 255, Func:   3: Read Holding Registers"
"7372","0.269964","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans:   394; Unit: 255, Func:   3: Read Holding Registers"
"7376","0.010947","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans:   394; Unit: 255, Func:   3: Read Holding Registers"
"7438","0.288830","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans:   395; Unit: 255, Func:   3: Read Holding Registers"
"7445","0.033276","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans:   395; Unit: 255, Func:   3: Read Holding Registers"
"7504","0.266711","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans:   396; Unit: 255, Func:   3: Read Holding Registers"
"7511","0.052338","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans:   396; Unit: 255, Func:   3: Read Holding Registers"
"7758","1.048134","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans:   397; Unit: 255, Func:   3: Read Holding Registers"
"7764","0.015953","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans:   397; Unit: 255, Func:   3: Read Holding Registers"
"7827","0.284630","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans:   398; Unit: 255, Func:   3: Read Holding Registers"
"7830","0.009031","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans:   398; Unit: 255, Func:   3: Read Holding Registers"
"7886","0.293338","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans:   399; Unit: 255, Func:   3: Read Holding Registers"
"7889","0.014522","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans:   399; Unit: 255, Func:   3: Read Holding Registers"
"7942","0.283011","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans:   400; Unit: 255, Func:   3: Read Holding Registers"
"7943","0.006344","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans:   400; Unit: 255, Func:   3: Read Holding Registers"
"8207","1.094195","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans:   401; Unit: 255, Func:   3: Read Holding Registers"
"8209","0.012021","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans:   401; Unit: 255, Func:   3: Read Holding Registers"
"8260","0.288431","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans:   402; Unit: 255, Func:   3: Read Holding Registers"
"8261","0.006660","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans:   402; Unit: 255, Func:   3: Read Holding Registers"
"8318","0.293385","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans:   403; Unit: 255, Func:   3: Read Holding Registers"
"8324","0.033280","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans:   403; Unit: 255, Func:   3: Read Holding Registers"
"8383","0.266759","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans:   404; Unit: 255, Func:   3: Read Holding Registers"
"8388","0.021250","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans:   404; Unit: 255, Func:   3: Read Holding Registers"
"8635","1.079979","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans:   405; Unit: 255, Func:   3: Read Holding Registers"
"8636","0.011390","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans:   405; Unit: 255, Func:   3: Read Holding Registers"
"8707","0.288070","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans:   406; Unit: 255, Func:   3: Read Holding Registers"
"8715","0.033951","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans:   406; Unit: 255, Func:   3: Read Holding Registers"
"8781","0.266580","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans:   407; Unit: 255, Func:   3: Read Holding Registers"
"8787","0.016110","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans:   407; Unit: 255, Func:   3: Read Holding Registers"
"8866","0.283713","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans:   408; Unit: 255, Func:   3: Read Holding Registers"
"8869","0.012278","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans:   408; Unit: 255, Func:   3: Read Holding Registers"
"9150","1.088176","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans:   409; Unit: 255, Func:   3: Read Holding Registers"
"9155","0.021133","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans:   409; Unit: 255, Func:   3: Read Holding Registers"
"9206","0.279316","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans:   410; Unit: 255, Func:   3: Read Holding Registers"
"9207","0.006829","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans:   410; Unit: 255, Func:   3: Read Holding Registers"
"9271","0.293525","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans:   411; Unit: 255, Func:   3: Read Holding Registers"
"9275","0.021240","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans:   411; Unit: 255, Func:   3: Read Holding Registers"
"9338","0.278361","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans:   412; Unit: 255, Func:   3: Read Holding Registers"
"9344","0.022604","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans:   412; Unit: 255, Func:   3: Read Holding Registers"
"9581","1.078036","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans:   413; Unit: 255, Func:   3: Read Holding Registers"
"9584","0.017038","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans:   413; Unit: 255, Func:   3: Read Holding Registers"
"9646","0.283295","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans:   414; Unit: 255, Func:   3: Read Holding Registers"
"9650","0.013039","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans:   414; Unit: 255, Func:   3: Read Holding Registers"
"9711","0.287025","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans:   415; Unit: 255, Func:   3: Read Holding Registers"
